iter	Passed	Remaining
0	2	283
1	5	248
2	7	237
3	10	242
4	12	244
5	15	243
6	17	235
7	20	230
8	22	231
9	25	233
10	28	230
11	30	226
12	33	226
13	37	230
14	40	228
15	42	222
16	45	219
17	47	216
18	50	214
19	52	210
20	54	205
21	57	202
22	59	200
23	62	198
24	65	195
25	67	191
26	70	189
27	73	187
28	75	185
29	77	181
30	80	178
31	83	177
32	85	174
33	89	173
34	92	171
35	94	168
36	98	167
37	100	164
38	103	161
39	105	158
40	108	156
41	109	151
42	112	148
43	114	145
44	117	143
45	120	140
46	123	138
47	125	135
48	127	132
49	130	130
50	133	128
51	136	125
52	138	123
53	141	120
54	143	117
55	145	114
56	148	111
57	150	109
58	153	106
59	156	104
60	159	101
61	161	99
62	163	96
63	166	93
64	169	91
65	172	88
66	174	85
67	176	83
68	179	80
69	182	78
70	185	75
71	187	73
72	190	70
73	192	67
74	195	65
75	198	62
76	200	59
77	202	57
78	205	54
79	208	52
80	210	49
81	213	46
82	215	44
83	218	41
84	220	38
85	223	36
86	225	33
87	228	31
88	231	28
89	233	25
90	235	23
91	238	20
92	240	18
93	243	15
94	245	12
95	248	10
96	250	7
97	252	5
98	255	2
99	258	0
